,JPY/USD
2017/2/16,113.35
2017/2/17,112.87
2017/2/21,113.45
2017/2/22,113.49
2017/2/23,112.72
2017/2/24,112.29
2017/2/27,111.97
2017/2/28,112.08
2017/3/1,113.68
2017/3/2,114.49
2017/3/3,114.59
2017/3/6,113.93
2017/3/7,113.96
2017/3/8,114.54
2017/3/9,114.74
2017/3/10,115.02
2017/3/13,114.59
2017/3/14,114.58
2017/3/15,114.67
2017/3/16,113.04
2017/3/17,112.63
2017/3/20,112.62
2017/3/21,111.93
2017/3/22,111.04
2017/3/23,111.11
2017/3/24,111.07
2017/3/27,110.48
2017/3/28,110.53
2017/3/29,111.06
2017/3/30,111.4
2017/3/31,111.39
2017/4/3,111.02
2017/4/4,110.78
2017/4/5,111.2
2017/4/6,111
2017/4/7,110.81
2017/4/10,110.95
2017/4/11,109.75
2017/4/12,109.57
2017/4/13,109.27
2017/4/17,108.47
2017/4/18,108.44
2017/4/19,109.06
2017/4/20,109.33
2017/4/21,109.07
2017/4/24,109.71
2017/4/25,110.87
2017/4/26,111.5
2017/4/27,111.11
2017/4/28,111.46
2017/5/1,111.69
2017/5/2,112.09
2017/5/3,112.41
2017/5/4,112.65
2017/5/5,112.58
2017/5/8,112.89
2017/5/9,114.11
2017/5/10,114.03
2017/5/11,113.85
2017/5/12,113.43
2017/5/15,113.58
2017/5/16,113.21
2017/5/17,111.41
2017/5/18,111.11
2017/5/19,111.38
2017/5/23,111.4
2017/5/24,111.89
2017/5/25,111.83
2017/5/26,111.21
2017/5/29,111.31
2017/5/30,110.86
2017/5/31,110.75
2017/6/1,111.29
2017/6/2,110.6
2017/6/5,110.52
2017/6/6,109.44
2017/6/7,109.51
2017/6/8,110.14
2017/6/9,110.54
2017/6/12,109.87
2017/6/13,110.04
2017/6/14,109.35
2017/6/15,110.69
2017/6/16,110.91
2017/6/19,111.37
2017/6/20,111.49
2017/6/21,111.47
2017/6/22,111.27
2017/6/23,111.22
2017/6/26,111.62
2017/6/27,112.14
2017/6/28,112.2
2017/6/29,112.3
2017/6/30,112.26
2017/7/4,113.22
2017/7/5,113.28
2017/7/6,113.26
2017/7/7,113.94
2017/7/10,114.15
2017/7/11,114.13
2017/7/12,113.22
2017/7/13,113.27
2017/7/14,112.54
2017/7/17,112.61
2017/7/18,111.95
2017/7/19,111.76
2017/7/20,111.97
2017/7/21,111.15
2017/7/24,111.02
2017/7/25,111.57
2017/7/26,111.85
2017/7/27,111.39
2017/7/28,110.84
2017/7/31,110.39
2017/8/1,110.26
2017/8/2,110.56
2017/8/3,110.24
2017/8/4,110.76
